id,created_at,restaurant_name,address,latitude,longitude,rating,review,date_visited,user_display_name,upvotes_count,downvotes_count,user_id
155,2024-07-11 00:47:50.393542+00,Penny Black,"1800 Thames St, Baltimore, MD 21231",39.2820982,-76.5909278,6.7,Very gummy. no Bleu cheese given... i can't tell if they were even actually smoked. The sauce flavor is mostly smoky. honestly tastes like how the inside of a hardware lumber store smells. They need a quick drop in the deep fryer to crisp them up a little,2022-07-02,,0,0,
156,2024-07-11 00:47:50.393542+00,"Grille Fire ","7793 Arundel Mills Blvd, Hanover, MD 21076",39.152243,-76.743959,6.6,Harlan ordered them plain with sauce on the side,2022-08-04,,0,0,
157,2024-07-11 00:47:50.393542+00,Brd,"1104 S Charles St, Baltimore, MD 21230",39.2766529,-76.614724,5.3,"Got these delivered so they were very gummy. Going to have to try them again but in store. If they were crispy they would be better. the sauce was great tho. ",2022-08-16,,0,0,
158,2024-07-11 00:47:50.393542+00,Bens BurgerBar,"Hauptstraße 142, 69117 Heidelberg",49.4116211,8.70692,5.2,"They are very crispy and the breading is great, but the wings are tiny and have no sauce on top. No blue cheese, hot sauce OR EVEN RANCH! I wish they had buffalo sauce and it would be higher",2022-09-02,,0,0,
159,2024-07-11 00:47:50.393542+00,burger turm,"Turmstraße 49, 10551 Berlin",52.5273666,13.3326006,6.5,"these are tiny little wings, the sauce came on the side. i ordered bbq, it was kinda spicy and i really liked it! the wing texture was also great, i wish they weren't tiny and they would be way better. ",2022-09-07,,0,0,
160,2024-07-11 00:47:50.393542+00,Ale Marys,"1939 Fleet St, Baltimore, MD 21231",39.2845438,-76.5888824,5.6,"They are baked then grilled to order, skin was soggy with grill marks of crispiness. Not enough sauce stuck to the wings and definitely not enough flavor. I got the buffalo",2022-10-09,,0,0,
161,2024-07-11 00:47:50.393542+00,Severna Park Taphouse,"58 W Earleigh Heights Rd, Severna Park, MD 21146",39.097097,-76.5707603,6.6,"very generic. we got them mild because my cousin is a wimp. Little to no sauce on them, no flavor. Blue cheese is pretty good tho. Really large wings, so that's a bonus",2023-02-25,,0,0,
162,2024-07-11 00:47:50.393542+00,AleCraft Bel Air Maryland,"319 S Main St Suite #100, Bel Air, MD 21014",39.5337568,-76.3456698,7.3,These are good but also very very generic,2023-04-15,,0,0,
163,2024-07-11 00:47:50.393542+00,"O'Donnell's ","531 S Potomac St, Baltimore, MD 21224",38.9773594,-77.6398109,8.1,"these wings are really good they're large in size they have a crispy exterior almost like it's breaded. we got the hot wings seems they had a couple different sauces that were homemade. I really enjoyed these wings which was a surprise. ",2023-05-14,,0,0,
164,2024-07-11 00:47:50.393542+00,Koopers Tavern,"1702 Thames St, Baltimore, MD 21231",39.2820345,-76.5924712,5.2,"these were tiny wings very little sauce and sauce had no flavor the blue cheese was decent but it definitely came from a bottle. I would definitely not recommend these. ",2023-05-20,,0,0,
165,2024-07-11 00:47:50.393542+00,Dont Know Tavern,"1453 Light St, Baltimore, MD 21230",39.2729572,-76.6114589,6.7,"These aren't phenomenal, very little sauce on the buffalo and very little flavor but got $6 it's an amazing deal. Plus there are a ton of flavors. Unfortunately that doesn't gain you points in taste. The others flavors i might give a higher score.",2023-06-14,,0,0,
166,2024-07-11 00:47:50.393542+00,Sports Pub,"529 23rd St S, Arlington, VA 22202",38.8535379,-77.0543326,5.1,They are above average in size but the sauce is straight out of a bottle. Very mediocre and would not recommend. also pretty gummy,2023-07-21,,0,0,
167,2024-07-11 00:47:50.393542+00,Severn Inn,"1993 Baltimore Annapolis Blvd Annapolis, MD 21409",38.9952563,-76.4845714,6.4,"No bleu cheese but had a dill ranch which was very good. They only have one option for wing sauce which is a combination of Hot, Honey and Old Bay. They aren't very crispy but are very juicy. The plating was very nice. They are good but not traditional. ",2023-09-07,,0,0,
168,2024-07-11 00:47:50.393542+00,"Burger King - Fes, Morocco","Centre Commercial Borj, Boulevard Allal El Fassi, Fes 30050",34.0460631,-4.9947107,7.3,wings are really tiny but crispy and juicy with a slight heat afterwards (despite no sauce!). Can't with Bbq sauce on the side. it was 24 dirham which is about 2.4 dollars. They were good for Morocco!,2023-10-05,,0,0,
169,2024-07-11 00:47:50.393542+00,Crooked Crab,"8251 Telegraph Rd Suite D, Odenton, MD 21113",39.0974987,-76.6936948,8.1,"These are grilled. Someone else ordered them, they got hot honey. They were large and very flavorful. The char from the grill gave a good texture but didn't make the wing ""crispy"". somehow VERY good. Bleu Cheese is really good (but i only got to try a tiny amount).",2023-10-27,,0,0,
170,2024-07-11 00:47:50.393542+00,"Thai Fusion, Utah","768 W 1425 N, Layton, UT 84041",41.0817666,-111.9798976,4.4,"No sauce came on the wings, they were crispy but also gummy on the direct inside",2023-12-14,,0,0,
171,2024-07-11 00:47:50.393542+00,Keys of Main,"242 S Main St, Salt Lake City, UT 84101",40.7638114,-111.8913462,3.1,"really tiny and gummy, definitely undercooked, no flavor",2023-12-16,,0,0,
172,2024-07-11 00:47:50.393542+00,McClellans,"123 McClellans St, City, Country",,,6.6,"they were squishy but I let them sit for like 30 minutes, lil buzzed. Seems like they could be good, but they were mid",2024-01-12,,0,0,
173,2024-07-11 00:47:50.393542+00,McClellan,"2031 Florida Ave NW, Washington, DC 20009",38.9142811,-77.0464973,8.3,Wings has a unique Buffalo sauce that was peppery and zesty. Hint of smokiness.,2024-01-12,,0,0,
174,2024-07-11 00:47:50.393542+00,Busboy and Poets,"6251 Mango Tree Rd, Columbia, MD 21044",39.2057827,-76.8615876,5.4,They aren't very flavorful and are obviously frozen then fried. Not crispy at all. Blue cheese is mid,2024-03-26,,0,0,
175,2024-07-11 00:47:50.393542+00,Park Tavern Severna Park,"580 Ritchie Hwy, Severna Park, MD 21146",39.0742416,-76.5450751,4.2,,2024-06-09,,0,0,
176,2024-07-11 00:47:50.393542+00,Red Front Cafe,"71 Division St, Troy, NY 12180",42.7262245,-73.6909061,9.5,"Big crispy wings Memphis BBQ and Burbon as well as the usual trio. Memphis BBQ was saucier, and had a great flavour. 10 wings per order. Great Pizza",2024-06-20,,0,0,
177,2024-07-11 00:47:50.393542+00,Orchard Cafe,"2050 Western Ave, Guilderland, NY 12084",42.6974576,-73.8889958,9.4,Generic blue cheese Xtra crispy ordered there's a good amount of sauce the bottom of the bowl but it's not sticking. wings only come in orders of 10 or 20,2021-07-23,,0,0,
178,2024-07-11 00:47:50.393542+00,baddpizza,"346 W Broad St, Falls Church, VA 22046",38.8847292,-77.1742202,9.2,"claiming to be Buffalo style. Owner from williamsville ny. should be good. These wings are amazing they're the perfect amount of crispiness the sauce it is not drenched they come in a cardboard box like they're supposed to the wings are massive.   these are authentic. I would give them a 10 I'm even hesitant to give them a nine unfortunately they are so good that I have to break my scale. if you're looking for good/BIG authentic wings. if you like them extremely saucy get a little bit more sauce on the hot wings. leave them as is for the pit. you may even want to skip on the pit but if you're looking for some Buffalo barbecue they are authentic ",2023-07-04,,0,0,
228,2024-08-07 02:43:06.691333+00,Lakeview on Crystal Lake," 4 Old Rte 66, Averill Park, NY 12018",42.6349458,-73.5541216,8.7,"This was one of my favorite restaurants growing up. I would come order the pizza, wings and play the racing game with my cousin, so it was amazing to come back. These are huge wings and crispy wings! The buffalo wings have an amazing buttery taste that carries them. Maybe its the nostalgia but these are great wings. ",2024-07-18,,0,0,
229,2024-08-07 02:44:35.630377+00,TAPS,"11 N Main St, Lexington, VA 24450",37.7853296,-79.4416501,7.4,"The sauce a slight smokey hint to it that I love. The winds are a great size but gummy. Blue cheese is terrible. If these were crispy, it would be high 7 territory. If you are in the middle of nowhere and need wings, this place will do it",2024-08-01,,0,0,
230,2024-08-07 02:46:36.981669+00,AllSports Cafe (Grandin),"2326 Grandin Rd SW, Roanoke, VA 24015",37.2545492,-79.9917052,7.8,"""Before the actual wing review, I have to mention how terrible the atmosphere in this place is, no music, middle of nowhere and nearly empty. I want to get out of here so badly. 

Now, This is the rare time i didn't try the buffalo. I ordered the whodat and the deviltona at everyone's recommendation. They have naked and breaded, sounds like everyone normally gets the naked which is just fried and then grilled. The whodat is the clear winner here. I would pass on the Daytona (which is like a glorified BBQ). I would love to come back and try more of their flavors! Great Reddit recommendation""",2024-08-02,,0,0,
231,2024-08-07 02:48:30.675354+00,Delta Blues,"724 State St, Bristol, TN 37620",36.594907,-82.1888506,8.2,"I ordered the buffalo dry rub and the buffalo. They are smoked wings so I am always more biased towards these. The dry rub ones are way crisper and I'm my opinion the superior flavor. The blue cheese is phenomenal but likely not home made, I wonder what brand it is. Overall, the wings are a great pick but definitely get the dry rub since the normal buffalo came out a little gummy. Honestly everything else from this place was terrible (Brisket + Burnt ends), EXCEPT for the potato salad - I think that stuff was made with 110% full fat mayo, it was gross and I loved it.",2024-08-03,,0,0,
232,2024-10-29 03:56:29+00,Mecha Noodle Bar,"387 Morse St NE, Washington, DC 20002",38.9079484,-77.0006373,6.5,"They only have firecracker wings which is togashari, tamarind and Sichuan peppercorn. They are a dry rub, very very Good but they're extremely overpriced. It's $13 for 5 wings. I'd recommend them if you have a ton of money to spend",2024-08-31,,0,0,
233,2024-10-29 04:00:06+00,Exiles Bar,"1610 U St NW, Washington, DC 20009",38.9167949,-77.0373087,6.8,"Very very overpriced wings. This place is a bills backer bar so they definitely jacked up the price. They are very inconsistent, some are dry and gross others were great. None were amazing.  Being surrounded by fellow drunk upstate NYers is an absolute elite tier experience, might be slightly biased.",2024-10-10,,0,0,
